Galaxy,SD_mol (SL24) [Msun/pc2],e_SD_mol (SL24) [Msun/pc2],W_CO21 [K.km/s],e_W_CO21 [K.km/s],W_CO10 [K.km/s],e_W_CO10 [K.km/s],W_HCN [K.km/s],e_W_HCN [K.km/s],W_HCOP [K.km/s],e_W_HCOP [K.km/s],SD_mol_MW [Msun/pc2],e_SD_mol_MW [Msun/pc2],SD_mol_SL24 [Msun/pc2],e_SD_mol_SL24 [Msun/pc2],SD_dense [Msun/pc2],e_SD_dense [Msun/pc2],SD_SFR [Msun/yr/kpc2],e_SD_SFR [Msun/yr/kpc2],SD_SFR [Msun/yr/kpc2] (no inclination correction),e_SD_SFR [Msun/yr/kpc2] (no inclination correction),Survey
ngc1365,20.61038025120669,8.650618626357952,7.61523756030368,0.038361062955642664,12.97450694475953,0.06542637694065913,0.02048211351937267,0.021862122458030146,0.016552567593882253,0.0209078124841614,32.04859286972429,0.16161102124649288,21.801352653599945,0.10993739666591285,0.17445960071165,0.18621404237066025,0.011073585282786907,6.05766415479658e-05,0.019501113429983053,0.00010667836367960879,ALMOND
ngc1365,25.392377583270587,25.410146367512997,9.258438434492291,0.1131337104502336,15.183928651757126,0.1833779291622401,0.1664472011179896,0.05329542972441474,0.03882935902765894,0.04867769119809704,37.50613025951291,0.452965543741724,25.854645899227464,0.3122493218298068,1.4177400305466896,0.4539521461338907,0.012716348252343523,0.00014525768355607468,0.022394097607176016,0.0002558057296950432,ALMOND
ngc1365,39.37607310972826,22.817670684991555,17.08871971728513,0.15676217904554018,27.330604621801516,0.2489139625560185,0.4155751097619032,0.031038384572342273,0.4660781540678727,0.02461704112367849,67.50988104109076,0.6148474296181038,38.678334084840465,0.35226360833756576,3.5397259001707915,0.2643742880393586,0.026112425028257554,8.386456270296121e-05,0.045985229661754355,0.00014768950689968187,ALMOND
ngc1365,61.75182742069067,39.15731883200441,30.85764634737279,0.1332182903336214,46.40687381614576,0.19474604193185524,1.0554341134987908,0.028703455355201232,1.064848074610154,0.031109168707036283,114.63056065425607,0.4810461497641105,61.63112307337828,0.25863447139116724,8.989824894989301,0.24448616377292945,0.03918608603432316,9.186902553543656e-05,0.06900857212164714,0.00016178574887154126,ALMOND
ngc1365,100.10529357478028,63.521079148367384,63.73935753875412,0.6235907860871395,82.54682714635086,0.7986411003797842,4.007203985260276,0.03286481464352735,3.3977734112413605,0.02840347508987242,203.90059269030172,1.9727395872594908,95.22952819442145,0.9213463171758326,34.13198577272861,0.2799311914148486,0.1363383002081211,9.186902553543657e-05,0.24009826892673014,0.00016178574887154129,ALMOND
ngc1365,143.56354236085946,129.03185091905613,103.02438705414532,0.7193781592643854,128.19076556927482,0.8937475369424115,8.34809438861339,0.04221565871489294,6.410078220302239,0.049486278302911274,316.64661114905306,2.207663926015733,138.04204148018198,0.9624307493564551,71.10619772530511,0.359578466168226,0.18398513758501447,0.00012992242187421458,0.324006628914807,0.00022879960025282134,ALMOND
ngc1385,5.565966047695683,2.8781510658926783,0.9313410826201409,0.010812317010596949,1.7273034723140126,0.02036454520527956,-0.014616413584008114,0.025035884147777684,0.007380051810590279,0.018743434193020155,5.4049538868089995,0.06372327128649656,5.903808134848009,0.06960465811160758,-0.1577125204378132,0.27013961856246,0.00471487852222697,0.00016495372434056907,0.006554452457666456,0.0002293126617808608,ALMOND
ngc1385,6.6697090644304025,3.4475622027053294,1.2287863165680997,0.010701708196161234,2.196598117771298,0.019279822394716522,-0.03774990694000735,0.02214919939475552,0.02214332981778474,0.02051020313419007,6.873436963859101,0.060329034625113166,7.226647621190869,0.0634292097031957,-0.40732515781541323,0.23899201005426615,0.006300479480011076,0.00016495372434056907,0.008758697179059095,0.0002293126617808608,ALMOND
ngc1385,8.393694828621845,5.069004915446313,1.577094119185693,0.01296974712980052,2.713841154428218,0.02275327804596846,0.016220064389926847,0.020647704822534998,0.08405993845950765,0.022278248820577048,8.491956700670858,0.07119792241686994,8.805122181387436,0.07382355186666908,0.17501606819595067,0.22279073796740598,0.00829208809001398,0.00019262445035196592,0.011527358956240467,0.0002677794976189029,ALMOND
ngc1385,9.871712371015645,8.071582393734687,2.0267214893829077,0.014870946982952184,3.338227597293451,0.02456618965009983,-0.03642259560820094,0.03010102190808875,0.010873887082804385,0.024705493508881505,10.445741883950902,0.07687075511723149,10.252941451331624,0.07545192675568221,-0.3930033397892805,0.3247929463403089,0.012154851240647765,0.00026081473872187734,0.01689723164897243,0.0003625751537716818,ALMOND
ngc1385,11.95912682398552,7.222597398731081,2.5259438924513233,0.013030164871633535,4.0574416300354885,0.02105587920141046,0.01103930415535036,0.028517359752750153,0.11167377139868635,0.021047890861171748,12.696254746354247,0.0658865439420335,12.423987091122559,0.06447362531454863,0.11911516270481055,0.3077050780609317,0.015442217183879198,0.00019262445035196594,0.02146720809360097,0.0002677794976189029,ALMOND
ngc1385,14.535632607124091,9.202415492721702,3.3071889810144057,0.018409043758915635,5.178834781614143,0.029046475152266858,-0.006460638574935732,0.01903665650163905,0.06387882065791928,0.022653084241660536,16.20523760340033,0.09089014251909355,14.827508295997642,0.08316288691401146,-0.06971091693831687,0.20540737030506778,0.01778332111930584,0.0002020262279030539,0.02472172554741695,0.00028084950646126334,ALMOND
ngc1385,18.18436418855055,10.990912813158793,4.413877210204605,0.019763029592442822,6.666105133265617,0.03056828115739065,0.003773188101687001,0.024363119677566478,0.15362291379708704,0.018646541077813654,20.859097099858896,0.09565206850037115,18.761923689164572,0.08603521050423826,0.040713065635615525,0.26288042466731,0.025352533416629505,0.00019262445035196592,0.03524416889583202,0.0002677794976189029,ALMOND
ngc1385,21.74746224448062,17.76712956185649,6.043466553795346,0.02083350552456344,8.493166412899066,0.02963918604354527,0.06189177526418159,0.031667297321036625,0.25906827031576535,0.034867004254104564,26.57620594788522,0.09274481084282335,22.218759642683686,0.07753833125254028,0.6678182589171159,0.3416932099826878,0.04225278058915461,0.00026081473872187734,0.05873827719425899,0.0003625751537716818,ALMOND
ngc1385,27.001228140085157,20.452340351808388,8.177119880097703,0.024488569146286686,11.221610835999725,0.033781878568980545,0.21528477128413215,0.03792195331541946,0.2177069351195574,0.03437722668617779,35.11385814737047,0.10570782656420635,27.13469314394984,0.08168710554947683,2.322943565872197,0.4091815548954823,0.04992391568760978,0.00024146752742564036,0.06940240990990151,0.00033567936503994654,ALMOND
ngc1511,5.973843979217928,3.4595315972896437,1.4204605025831065,0.06984614397216946,2.780114563837053,0.18290471325467744,0.04065120736413519,0.0279278945706117,0.04000049043194545,0.024330658261259092,3.5963025497914503,0.23660200741469306,6.356923002990401,0.4182241962860962,0.18132971506529497,0.12457581196790002,0.004197991603617254,4.623963462399096e-05,0.01411683356448993,0.00015549274217395992,ALMOND
ngc1511,7.557308117966548,4.053399953892773,1.142560179786025,0.10363991344610245,2.421159147014189,0.23403656852797367,0.01731942254472025,0.019922216461501604,0.0636142536261884,0.01837300009265601,3.1319647496254643,0.30274518866587424,7.455029947210208,0.7206257503848972,0.07725541647504226,0.0888654991738415,0.0037939529567350104,4.2809583141029635e-05,0.012758149014777242,0.0001439583060734032,ALMOND
ngc1511,10.62695539960001,4.653665384978757,1.228289454288426,0.0565754978955407,1.8920123146342105,0.1447316904687321,0.025523749259480696,0.018683032386690175,0.03662859915840228,0.017992049108909166,2.4474706186081634,0.18722212179268866,5.1583136780806695,0.3945912258720873,0.1138518258304658,0.0833379660507478,0.011318646382808188,3.4953878265591915e-05,0.03806187869069096,0.00011754146470508079,ALMOND
