Survey,Galaxy,W_CO21 [K.km/s],e_W_CO21 [K.km/s],W_CO10 [K.km/s],e_W_CO10 [K.km/s],W_HCN [K.km/s],e_W_HCN [K.km/s],W_HCOP [K.km/s],e_W_HCOP [K.km/s],SD_mol (MW) [Msun/pc2],e_SD_mol (MW) [Msun/pc2],SD_mol (SL24) [Msun/pc2],e_SD_mol (SL24) [Msun/pc2],SD_dense [Msun/pc2],e_SD_dense [Msun/pc2],SD_star [Msun/pc2],e_SD_star [Msun/pc2],P_DE (MW) [kB.K/cm3],e_P_DE (MW) [kB.K/cm3],P_DE (SL24) [kB.K/cm3],e_P_DE (SL24) [kB.K/cm3],SD_SFR [Msun/yr/kpc2],e_SD_SFR [Msun/yr/kpc2],SD_SFR [Msun/yr/kpc2] (no inclination correction),e_SD_SFR [Msun/yr/kpc2] (no inclination correction),Reference
ALMOND,ngc4826,106.9477257590325,0.2217329843248408,157.81567307044511,0.32719667402733715,9.10719601460198,0.19357241617084844,6.003567621749836,0.20637975638443834,352.5451337920466,0.7309261049743143,140.76919635959524,0.2918544904839773,70.15381266116817,1.4911113144645403,4970.717984738918,0.38828170945373935,11469938.632516425,45084.11710063452,3717243.075598036,23285.693073592884,0.14355671750863241,0.00021133202955780876,0.2795427182008961,0.0004115190916227907,Neumann23
ALMOND,ngc5248,51.82320769997483,0.14599395916579602,66.65595292818156,0.1877800873750022,3.5911056313384533,0.18718866627204564,2.28909807138975,0.1619292417268973,196.26248556422337,0.5529016549713648,80.77921164672658,0.22756748279406722,36.46099659667619,1.900552649947423,1259.7932550990058,0.4047823648256099,2777105.999029478,12102.04651283595,847760.1092712294,3938.320115815897,0.1084287274977075,0.0002548446705422954,0.16018994964253505,0.0003765012822981056,Neumann23
ALMOND,ngc5643,49.267651373694065,0.12392067730684897,52.68577757420617,0.13251813430099157,2.757336564602637,0.14637136574580106,3.015655341949834,0.14642372882952795,198.67811242987275,0.4997259981323542,86.95565748608638,0.21871560082305272,35.85489155362935,1.9033329165344852,797.3936545508773,1.479051985072286,,,,,0.723073992700615,0.0004702993657343333,0.8340947103428673,0.0005425090892448016,Neumann23
ALMOND,ngc6300,27.795439319159623,0.11398839647109946,32.175821699514664,0.13195223426958133,3.405447144978373,0.26438688129323396,3.5057764870932053,0.22362695291093593,90.71398813783756,0.3720157802363915,39.32183893526754,0.1612578709427468,33.10707100018657,2.570315990192408,837.1239843613935,0.39799411321394296,,,,,0.3777354024610606,0.00035007854549463365,0.5828171636782787,0.000540144724641828,Neumann23
ALMOND,ngc7496,34.96846292167728,0.10908417394481167,37.08127978381356,0.11567510940054,1.6403256883852588,0.11891939467397683,2.2643256340000724,0.11578146661749981,130.6626060707079,0.4076022008923874,73.1872906372368,0.22830786587055651,19.930981672274616,1.4449449231379385,335.8786872274046,0.379323038714497,1133169.7907920023,5451.683814052104,496310.3389793432,2286.211193978943,0.38796414458474154,0.0003457971478313325,0.4789434582291726,0.0004268881136049099,Neumann23
EMPIRE,ngc0628,4.461075899215713,0.11541770050514917,7.326125023886561,0.18954272981969975,0.15540673595387489,0.0399004606487632,0.08077107802091632,0.040235560590740176,31.484941104157972,0.8145836531095185,14.907403763825974,0.3856868391826933,2.303034269889737,0.5913008062003333,712.9524690075901,0.4183406384126328,205391.55731809628,6424.967471786061,99689.10804368297,3427.286216954211,0.012423165429232491,0.0003591027917894669,0.012574564878258246,0.00036347912929621896,Jiménez-Donaire19
EMPIRE,ngc2903,35.713713347460555,0.36909303586972514,47.82691594585776,0.49428020634538716,2.2123662483645603,0.06324704561830334,1.773513471125625,0.07034422144720887,81.95846569937349,0.847021944369094,38.966837474415236,0.40271332755983946,13.073156768929556,0.3737349289029064,524.1071559748448,0.2648253119526901,557635.8497887345,8376.081790915228,219321.17143644637,3268.1368288087365,0.08921347956826772,0.00019267073400742985,0.22646354042630892,0.0004890841246301748,Jiménez-Donaire19
EMPIRE,ngc3184,5.344535997499925,0.14611073581887168,8.56116022914648,0.23404789885015082,0.2061675121076405,0.040505035357010735,0.15737786376848817,0.03547328652023629,35.798391994650295,0.9786685687808079,19.689684693063846,0.5382832709688702,2.9727139850396163,0.5840390847198256,304.60112042948174,0.6903390939319242,189356.58867128947,7995.0690020191605,103705.57036514768,5238.329318456285,0.017749952195693454,0.0004214681326967025,0.018465265255750304,0.00043845306067802245,Jiménez-Donaire19
EMPIRE,ngc3627,32.162387197095924,0.29919498261518146,46.144469619728625,0.4292652066233471,2.216884742025286,0.09979952345371526,1.7900502745760605,0.09392582961712434,108.4415982920062,1.008792721663052,42.69981779226001,0.3972208643511453,17.964757852406464,0.8087358980122858,1692.9917537662598,0.3847053675596479,1123162.8947796014,15854.109874957483,367363.8197798994,6486.511765720943,0.04155747886856491,0.00027426194010896586,0.07692406007722959,0.0005076665508166371,Jiménez-Donaire19
EMPIRE,ngc4254,26.253189397295532,0.34226753807505894,35.18396056629717,0.45869960333265364,1.3012843231845181,0.05363455459794638,1.0326088961446658,0.06051660889788569,126.28380941972226,1.6463846694863238,59.64241378925058,0.7775688440583776,16.10560890236222,0.6638189245936463,863.551645181404,0.3411462228822048,1461317.344490014,25509.16977677655,587072.5692425882,8894.599207472867,0.060536343825202996,0.0004003597283568765,0.07336729304698059,0.00048521776603131355,Jiménez-Donaire19
EMPIRE,ngc4321,39.73099092930793,0.2551977266091799,53.67094830190763,0.3447360277516298,2.740453912410885,0.0586514256430228,2.0251603380502274,0.06214438047406292,182.7144503827855,1.1736005386650663,81.5618979991622,0.5238835090811207,32.17052377996304,0.6885162617887872,721.8865849934499,0.5373808536323368,1915057.0292505652,20395.002909957297,590349.7805169666,6427.278704628712,0.07515281732673801,0.0003624713818460861,0.09602866603000472,0.00046315819567216936,Jiménez-Donaire19
EMPIRE,ngc5055,28.79916695131633,0.24190768108896005,42.402135819153045,0.3561701061204344,1.8832610258832574,0.07771902304495348,0.6742182339366991,0.09522806487392686,94.99840765901487,0.7979690712159853,35.877694033840875,0.3013660006630493,14.549266999860698,0.6004238401944446,1833.6823408886617,0.5034983322637006,989583.5678468307,14638.573887761022,341877.0301385987,7735.170782246072,0.031938005258951574,0.0001901423361690994,0.06201095960629552,0.00036918112549699496,Jiménez-Donaire19
EMPIRE,ngc5194,39.919670570913645,0.4845857804425993,49.98022689204663,0.6067111002871757,4.566227984963916,0.10461511713565998,2.4341710582957603,0.10197002762108702,202.97344269162153,2.4638991937850925,76.4533526404391,0.9280689701811965,63.94411604529107,1.4649993851034624,2391.335718933253,0.5319779893362376,3183869.1347016753,56239.068268694245,925828.961762731,15590.701920017884,0.11493770105068318,0.0003331984329262388,0.12311494306058879,0.0003569038333166441,Jiménez-Donaire19
EMPIRE,ngc6946,147.6379252879601,0.4453837997788094,168.46334910334554,0.508208486408681,6.745691160205752,0.07309431780622123,5.846719636465423,0.07945340424716339,614.5908491166359,1.8540548247000797,269.6083350549598,0.8133356282581742,84.86118954771277,0.9195307954219032,974.083392312188,0.11526059916533214,15983950.245437656,112674.17837088171,3945166.1516583133,41597.22224405215,0.44346511437104874,0.0004147359372350978,0.5287715240293337,0.000494515907779044,Jiménez-Donaire19
